time_s,t_rel_s,V_measured,V_estimated,error_V,rmse_V,Current(A),cycle,step,pulse_no
7780.592,27.962999999999738,3.243482,3.2595710364713923,0.01608903647139215,0.0118756274024427,-74.998972,1,9,2
7781.592,28.962999999999738,3.242364,3.2589045420074174,0.016540542007417613,0.0118756274024427,-74.998904,1,9,2
7782.593,29.963999999999942,3.241292,3.258261980030267,0.01696998003026673,0.0118756274024427,-74.998958,1,9,2
11432.961,0.0,3.315067,3.3150670000000013,1.3322676295501878e-15,0.010903603646239103,-74.994998,1,14,3
11433.964,1.0030000000006112,3.270661,3.2988773471956567,0.028216347195656688,0.010903603646239103,-74.997896,1,14,3
11434.962,2.0010000000002037,3.26615,3.286999967545558,0.020849967545558012,0.010903603646239103,-74.998885,1,14,3
11435.962,3.0010000000002037,3.262892,3.2781445120776285,0.015252512077628566,0.010903603646239103,-74.99855,1,14,3
11436.963,4.0020000000004075,3.259986,3.2714803877468985,0.011494387746898482,0.010903603646239103,-74.998686,1,14,3
11437.964,5.003000000000611,3.257426,3.2664047976378003,0.008978797637800184,0.010903603646239103,-74.998737,1,14,3
11438.963,6.0020000000004075,3.255109,3.26248510707672,0.007376107076719762,0.010903603646239103,-74.998777,1,14,3
11439.965,7.004000000000815,3.252991,3.259388003558067,0.006397003558066938,0.010903603646239103,-74.998748,1,14,3
11440.963,8.002000000000407,3.251015,3.2569087046707237,0.005893704670723476,0.010903603646239103,-74.998778,1,14,3
11441.965,9.004000000000815,3.249158,3.2548648072926083,0.005706807292608307,0.010903603646239103,-74.998836,1,14,3
11442.965,10.004000000000815,3.247426,3.253153269929029,0.005727269929029166,0.010903603646239103,-74.998857,1,14,3
11443.964,11.003000000000611,3.24577,3.2516871680862405,0.005917168086240654,0.010903603646239103,-74.998836,1,14,3
11444.953,11.99200000000019,3.244212,3.250416508695109,0.006204508695109023,0.010903603646239103,-74.998874,1,14,3
11445.953,12.99200000000019,3.242729,3.24927131915509,0.0065423191550899595,0.010903603646239103,-74.998874,1,14,3
11446.953,13.99200000000019,3.241317,3.248234978692985,0.0069179786929849385,0.010903603646239103,-74.99894,1,14,3
11447.953,14.99200000000019,3.239969,3.2472844937322343,0.0073154937322343905,0.010903603646239103,-74.998984,1,14,3
11448.951,15.989999999999782,3.238684,3.2464048035015303,0.007720803501530149,0.010903603646239103,-74.998886,1,14,3
11449.952,16.990999999999985,3.237454,3.2455793113009133,0.008125311300913207,0.010903603646239103,-74.998944,1,14,3
11450.958,17.997000000001208,3.236284,3.2447978786562817,0.008513878656281726,0.010903603646239103,-74.998918,1,14,3
11451.956,18.9950000000008,3.235156,3.2440636228252595,0.008907622825259587,0.010903603646239103,-74.998973,1,14,3
11452.956,19.9950000000008,3.234061,3.2433637307942376,0.00930273079423749,0.010903603646239103,-74.998971,1,14,3
11453.958,20.997000000001208,3.233037,3.2426945263618068,0.009657526361806834,0.010903603646239103,-74.998867,1,14,3
11454.955,21.994000000000597,3.232053,3.2420575425307248,0.010004542530724692,0.010903603646239103,-74.998977,1,14,3
11455.956,22.9950000000008,3.231099,3.2414446084320514,0.010345608432051456,0.010903603646239103,-74.998906,1,14,3
11456.952,23.990999999999985,3.230184,3.240859293037136,0.01067529303713588,0.010903603646239103,-74.998958,1,14,3
11457.951,24.98999999999978,3.229319,3.2402952500444147,0.010976250044414826,0.010903603646239103,-74.999031,1,14,3
11458.949,25.988000000001193,3.228477,3.239753485924427,0.011276485924426982,0.010903603646239103,-74.999,1,14,3
11459.95,26.989000000001397,3.227683,3.2392307520999246,0.011547752099924757,0.010903603646239103,-74.99899,1,14,3
11460.949,27.988000000001193,3.226916,3.2387286900531134,0.01181269005311325,0.010903603646239103,-74.999014,1,14,3
11461.949,28.988000000001193,3.226181,3.2382448682641045,0.01206386826410455,0.010903603646239103,-74.99899,1,14,3
11462.924,29.963000000001557,3.225472,3.2377904220366274,0.012318422036627474,0.010903603646239103,-74.99899,1,14,3
15112.824,0.0,3.285834,3.285834000000002,2.220446049250313e-15,0.008510439859065364,-74.99508,1,19,4
15113.824,1.0,3.254544,3.273866583774709,0.019322583774708857,0.008510439859065364,-74.997738,1,19,4
15114.783,1.9589999999989232,3.250743,3.265364127021765,0.014621127021765101,0.008510439859065364,-74.998647,1,19,4
15115.783,2.958999999998923,3.247985,3.2587302473648987,0.010745247364898791,0.008510439859065364,-74.998635,1,19,4
15116.786,3.9619999999995343,3.245518,3.2537265000354543,0.008208500035454147,0.008510439859065364,-74.998703,1,19,4
15117.784,4.959999999999127,3.243334,3.249926783170414,0.006592783170414229,0.008510439859065364,-74.998776,1,19,4
15118.784,5.959999999999127,3.241382,3.24696979642456,0.0055877964245598655,0.008510439859065364,-74.998761,1,19,4
15119.784,6.959999999999127,3.239579,3.2446288096340306,0.0050498096340305665,0.008510439859065364,-74.998849,1,19,4
15120.807,7.983000000000175,3.237908,3.242696307509594,0.004788307509593803,0.008510439859065364,-74.998813,1,19,4
15121.807,8.983000000000175,3.23635,3.2411370302889955,0.004787030288995631,0.008510439859065364,-74.998888,1,19,4
15122.808,9.984000000000378,3.234903,3.2398162966653867,0.004913296665386646,0.008510439859065364,-74.998841,1,19,4
15123.808,10.984000000000378,3.233536,3.2386754919000302,0.005139491900030269,0.008510439859065364,-74.998901,1,19,4
15124.808,11.984000000000378,3.232242,3.2376692704222405,0.005427270422240671,0.008510439859065364,-74.998906,1,19,4
15125.807,12.983000000000175,3.231014,3.2367669038687135,0.00575290386871341,0.008510439859065364,-74.998886,1,19,4
