segment,mean,std,cell_id,pulse_no
mid,0.007349022260360216,0.0035112136455137536,Group0_150_0011_10_100,4
late,0.008152141586231657,0.0012709560275909614,Group0_150_0011_10_100,4
early,0.00801582230424635,0.0015468968625008562,Group0_150_0011_10_100,5
mid,0.003989705030331925,0.000689884475899441,Group0_150_0011_10_100,5
late,0.007273527927903375,0.0011152071341841885,Group0_150_0011_10_100,5
early,0.012681649655812801,0.003755882887322958,Group0_150_0011_10_100,6
mid,0.004571644716033118,0.0009829233055205383,Group0_150_0011_10_100,6
late,0.006944383120869844,0.0010980280194088023,Group0_150_0011_10_100,6
early,0.0104375990089531,0.002116711614645982,Group0_150_0011_10_100,7
mid,0.004314156283234275,0.0009169472314688705,Group0_150_0011_10_100,7
late,0.006978320143749919,0.0010592984749264033,Group0_150_0011_10_100,7
early,0.03204857604650785,0.007140697725657462,Group0_150_0011_10_100,8
mid,0.008068482684970766,0.004683102551679535,Group0_150_0011_10_100,8
late,0.007086389478809594,0.0010067260473195455,Group0_150_0011_10_100,8
early,0.0062287153157716,0.0016363987882947958,Group0_150_0011_10_100,9
mid,0.004386759068728592,0.0010928085720872188,Group0_150_0011_10_100,9
late,0.0082117398489444,0.0009447188229923582,Group0_150_0011_10_100,9
early,0.016289579879372,0.0008525526765265995,Group0_150_0025_10_100,1
mid,0.017098323224577425,0.0014049769836634168,Group0_150_0025_10_100,1
late,0.024208663937781195,0.0024280694483102363,Group0_150_0025_10_100,1
early,0.010576337050665699,0.0016301926218439,Group0_150_0025_10_100,2
mid,0.006140701230559158,0.001127804812839997,Group0_150_0025_10_100,2
late,0.013268030951700987,0.002709302220561522,Group0_150_0025_10_100,2
early,0.014116827746538151,0.002928365975648833,Group0_150_0025_10_100,3
