file,cycle,step,step_name,t_pre,t_post,t_fast,t_end,V_pre,V_post,V_fast,V_end,I_step,R0,R1,R2,C1,C2,duration_pre_post,duration_post_fast,duration_fast_end,cell,pulse_no,soc_pct,cell_id,rmse_V
RD_LFP_HPPC_REPT_Group0_150_0007_10_100,1,29,CC_DChg,22424.683,22424.71,22427.698,22455.229,3.329195,3.281468,3.243925,3.216345,-74.99781920000001,-0.0006363785041898,-0.0005005878890942,-0.0003677440263489,-5968.981801392809,-74864.57434355086,0.0269999999982246,2.9880000000011933,27.53099999999904,RD_LFP_HPPC_REPT_Group0_150_0007_10_100,6,60,Group0_150_0007_10_100,0.008125866478870876
RD_LFP_HPPC_REPT_Group0_150_0007_10_100,1,34,CC_DChg,26105.359,26105.386,26109.404,26135.373,3.328487,3.327597,3.239597,3.214204,-74.9976564,-1.1867037487854851e-05,-0.001173369998799,-0.0003385839134034,-3424.324811536385,-76698.85949087108,0.0269999999982246,4.018000000000029,25.96900000000096,RD_LFP_HPPC_REPT_Group0_150_0007_10_100,7,70,Group0_150_0007_10_100,0.018147236631363063
RD_LFP_HPPC_REPT_Group0_150_0007_10_100,1,39,CC_DChg,29785.457,29785.472,29789.474,29815.412,3.328127,3.327294,3.23746,3.211905,-74.9979752,-1.1106966525139462e-05,-0.0011978190045856,-0.000340742532473,-3341.0723862920177,-76121.99102867258,0.0150000000030559,4.0019999999967695,25.93800000000192,RD_LFP_HPPC_REPT_Group0_150_0007_10_100,8,80,Group0_150_0007_10_100,0.018535351922751218
RD_LFP_HPPC_REPT_Group0_150_0007_10_100,1,44,CC_DChg,33469.467,33469.506,33472.491,33498.725,3.327954,3.287809,3.241008,3.21339,-74.9979288,-0.0005352814489991,-0.0006240305665614,-0.0003682501695966,-4783.419530951094,-71239.61416970675,0.0390000000043073,2.985000000000582,26.23399999999674,RD_LFP_HPPC_REPT_Group0_150_0007_10_100,9,90,Group0_150_0007_10_100,0.009301872533600998
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,4,CC_DChg,4004.807,4004.83,4010.829,4034.792,3.514661,3.496109,3.359726,3.293683,-74.996849,-0.0002473703928547,-0.0018185164019357,-0.0008806103307086,-3298.8429434095087,-27211.80886069649,0.0230000000001382,5.999000000000251,23.962999999999735,RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,10,Group0_150_0011_10_100,0.025503545159771386
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,9,CC_DChg,7692.068,7692.096,7695.053,7722.008,3.400575,3.357578,3.3219,3.267488,-74.99775600000001,-0.000573310486783,-0.000475720900236,-0.0007255150407433,-6215.829488537001,-37152.916874586605,0.0279999999993378,2.9570000000003347,26.954999999999927,RD_LFP_HPPC_REPT_Group0_150_0011_10_100,2,20,Group0_150_0011_10_100,0.011124177401827685
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,14,CC_DChg,11372.466,11372.494,11375.475,11402.451,3.359838,3.319441,3.289372,3.249887,-74.99792479999999,-0.0005386415705198,-0.000400931093496,-0.0005264812340514,-7435.192850736136,-51238.29351411184,0.0280000000002473,2.980999999999767,26.97599999999875,RD_LFP_HPPC_REPT_Group0_150_0011_10_100,3,30,Group0_150_0011_10_100,0.008524196863784248
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,19,CC_DChg,15052.769,15052.81,15055.811,15082.744,3.338289,3.323024,3.270281,3.239996,-74.9978602,-0.0002035391404407,-0.0007032600644784,-0.0004038115210119,-4267.269181886039,-66696.95785922602,0.0409999999992578,3.001000000000204,26.933000000000906,RD_LFP_HPPC_REPT_Group0_150_0011_10_100,4,40,Group0_150_0011_10_100,0.010321770404373402
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,24,CC_DChg,18733.193,18733.231,18736.231,18763.162,3.330495,3.285479,3.263658,3.23687,-74.9976658,-0.0006002320141542,-0.0002909557219846,-0.0003571844498659,-10310.847229732784,-75398.01917499818,0.0380000000004656,3.0,26.93100000000049,RD_LFP_HPPC_REPT_Group0_150_0011_10_100,5,50,Group0_150_0011_10_100,0.0062016403816930535
RD_LFP_HPPC_REPT_Group0_150_0011_10_100,1,29,CC_DChg,22413.295,22413.336,22416.302,22443.872,3.328493,3.29515,3.263129,3.237444,-74.9979268,-0.0004445856228655,-0.0004269584689373,-0.0003424761336202,-6946.811495232104,-80501.95997181094,0.0410000000010768,2.966000000000349,27.56999999999971,RD_LFP_HPPC_REPT_Group0_150_0011_10_100,6,60,Group0_150_0011_10_100,0.007048044780573565
